description,country,variety
"Dense, tarry aromas of asphalt and rubbery boysenberry are hefty but also a bit flat. This has a tannic mouthfeel to go with blackberry, prune and raisin flavors. Toast, bitter chocolate and full-bodied weight push the finish on this oaky, ripe Rioja. Drink through 2020.",Spain,Tempranillo Blend
"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Spain,Tinta de Toro
"Apple, nectarine, lees and briny aromas steer this Godello toward a round, full palate. Slightly bitter flavors of melon and peach finish much like the wine starts—briny and leesy. This is also pithy tasting, like the inside of a grapefruit peel.",Spain,Godello
"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Spain,Red Blend
"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor.",Spain,Sparkling Blend
"This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins.",Spain,Tempranillo
"Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot.",Spain,Tempranillo Blend
"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024.",Spain,Tempranillo Blend
"Ripe pure black-fruit aromas are touched up by notes of malty chocolate and mocha. This is proportionally big, with cheek-grabbing tannins, but it's not overly hard or unbalanced— just the opposite. Flavors of mocha, coffee, hazelnut and ripe berry fruits finish flush, dense and firm, with toasty notes and powerful but controlled residual tannins. Drink through 2030.",Spain,Red Blend
"Lightly leesy aromas of vanilla cookie are offset by crisp minerally apple and stone-fruit scents. This is pure and lifted by fine acidity, while flavors of apple, pineapple and lemon-lime end fresh, with a distant note of citrus pith. Drink immediately.",Spain,Albariño
"Ripe berry aromas blend nicely with earthy leathery scents. With a full and easy palate, this generous Crianza delivers blackberry and chocolate flavors that veer toward raisin and prune, especially on the finish, which is lightly toasted and dense in feel. Drink through 2019.",Spain,Tempranillo
"Aromas of plum, wild herbs and tobacco are mature and suggest that this is ready to drink. In the mouth, this is medium-bodied, with clarity and a sense of freshness. Plum, berry and cherry flavors finish in harmony. Drink through 2020.",Spain,Tempranillo
"Aromas of mulled black fruits, vanilla, tobacco, orange peel and earth are a touch jumbled, but compartmentalized—this smells nice. Wiry and fresh in feel, but with a slightly hollow midsection, this tastes peppery, oaky and like cherry and black plum. A toasty finish with snappy acidity solidifies this medium-weight La Mancha Tempranillo. Drink through 2019.",Spain,Tempranillo
"Apple, lime and mineral aromas lend freshness to a mature nose. This feels round and plump, but well balanced due to fine acidity. Peach and citrus flavors are stony and finish with tropical notes of lychee and mango. Drink now.",Spain,Albariño
"The first thing that leaps at you on this oddball blend of Albillo, Sauvignon Blanc and Viognier is toasty oak, which overrides spice and apple aromas. In the mouth, this is full, resiny and grabby. Oak-driven flavors of vanilla, lees, peach and white pepper finish long, with elegance and a woody aftertaste.",Spain,White Blend
"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor.",Spain,Sparkling Blend
"Raspberry, red currant and a pinch of oaky maple make up the nose on this Tinto Fino that sports a medium-weight body with medium-level intensity. Red-berry flavors follow the nose, while a crisp finish with red plum and raspberry flavors wraps things up.",Spain,Tempranillo
"Initial aromas of aged cheese, gym shoes and overall funk are more complicated than easy. This is lacks a center point on the palate, while flavors of briny stone fruits are drawn, buttery and oxidized. A briny apricot note rises up on the finish.",Spain,Sherry
"Wiry aromas of berry and spice are tempered by a touch of oaky vanilla. On the palate, there's a blend of creamy oak and sharp acidity, while flavors of plum and boysenberry are tart overall but again softened by barrel-driven vanilla notes. Snappy acidity makes for a moderately sharp, pointed finish.",Spain,Tempranillo
"Smooth, nutty aromas include vanilla and flor scents. This has a dry palate with flavors of orange, lemon, salt and peanuts. It's crisp but metallic in feel, with angular acidity and a finish that's salty in flavor and slightly oily in texture.",Spain,Sherry
"Crisp, minty, herbal aromas of berry and plum lead to a bright, rumbling, tannic palate with energy. Blackberry and chocolate flavors are good and earthy, while the finish is plump but braced by lively acidity. This is well made and satisfying for a basic roble wine.",Spain,Tempranillo Blend
"Berry and cherry aromas are fruity and clean. This blend of Carignan, Grenache and Syrah is big on the palate but also tannic, acidic and fierce. Black plum, blackberry and tomato flavors finish crisp and firm.",Spain,Red Blend
"Earthy berry and licorice aromas are composed, lightly oaked and attractive. This standard Priorato blend of Grenache, Carignan and Syrah is fresh feeling, with a bolt of bracing acidity. Juicy plum and raspberry flavors finish loamy, earthy and balanced. For a wine that's no heavyweight, this is strong throughout. Drink through 2018.",Spain,Red Blend
"Look for the blue bottle and you'll get a solid Albariño. This is typically light and fresh, with aromas of stream water, wild flowers, fresh herbs and leesy stone fruits. Crisp and citric on the palate, with proper cut, this tastes of orange, peach, nectarine and lemon. Minerally, cleansing and steady on the finish.",Spain,Albariño
"Briary, dry, lightly oaked aromas of plum and berry lead to a bright, forward, juicy palate with fresh acidity and racy flavors of cherry and plum. This is short but clean on the finish, and overall it's the type of simple, drinkable, affordable Ribera del Duero that fans of the region don't come across often enough.",Spain,Tempranillo
"Mineral, citrus and dusty aromas are textbook for brut Cava. A round, full palate shows good grip and acidity, while flavors of lemon-lime and nectarine finish with notes of lime and green banana. Nothing about this is overwhelming, but the sum of its parts add up.",Spain,Sparkling Blend
"Baked, rooty aromas of sandalwood, exotic spices and berry fruits are attractive. Though slightly grabby on the palate, this shows the right structure and build. Flavors of up-front oak, herbal plum and raspberry finish dry, with firm, pinching tannins. Drink through 2021.",Spain,Tempranillo
"Berry and cinnamon aromas are lightly woody and spicy. This is tannic but not mean or fierce. Flavors of oaky plum and berry fruits turn savory in front of a finish with a dry, snappy, slightly raw feel. Given that 2013 was a cold vintage, this Crianza deserves praise.",Spain,Tempranillo Blend
"Deep dark berry aromas come with notes of vanilla, gritty spice and tobacco. Hard tannins require cushion and this has just enough to handle things. Blackberry, cassis, barrel spice and molasses flavors finish with savory oak notes, chocolate and lingering blackberry fruit. Drink through 2030.",Spain,Tempranillo
"Like it's bigger sibling El Anejón, this Reserva from a warm vintage is almost one-quarter Cabernet Sauvignon and Merlot in addition to Tinto Fino (Tempranillo). The opening of burnt earth, brandied cherry, rubber and herbal aromas is distinct. This feels a bit tough and chewy, with boysenberry, cassis, vanilla-cream and herbal spice flavors. A fairly smooth finish is young and vital. This should improve with aging. Best from 2019–2026.",Spain,Red Blend
"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Spain,Albariño
"Plum and berry aromas are pure and compact. This is a lively, energetic, everyday Tempranillo with lots of bounce to its step. The power-packed palate is full of mixed berry flavors, while the finish is dense and comfortable, with residual weight.",Spain,Tempranillo
"In a small field of excellent Cavas, this bready, leesy, semi-rich bottling stands out for its totality and comfort on the palate. Along the road are aromas of burnt banana and toasted bread along with flavors of arugula, lime and dried apple. An elegant finish with stone-fruit and green-herb notes is sophisticated.",Spain,Sparkling Blend
"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity.",Spain,Palomino
"An aromatic opening of compost and vinegar might suggest casting this aside. But flavors of strawberry and chocolate, along with an admitted weedy note, amount to something decent. Finishing notes of brown sugar and berry syrup are chocolaty and ensure that this finishes better than it begins.",Spain,Red Blend
"Concentrated aromas of blackened oak, blackberry, cassis, licorice and hickory smoke are clarion calls that this is a fully oaked, modern wine. In the mouth, it's heavy and tannic but doesn't trip over itself. Blackberry, cassis, burnt toast and campfire flavors finish equally toasted, peppery, charred and lemony, with chewy tannins. Drink through 2020.",Spain,Red Blend
"Smoky, oaky, charred flavors of savory plum and berry lead to a full, layered palate with slightly abrasive tannins. This tastes of grilled beef, lemon peel, toast, cassis and chocolate. A toasted character remains on a solid finish. Drink through 2020.",Spain,Tempranillo Blend
"In a small field of excellent Cavas, this bready, leesy, semi-rich bottling stands out for its totality and comfort on the palate. Along the road are aromas of burnt banana and toasted bread along with flavors of arugula, lime and dried apple. An elegant finish with stone-fruit and green-herb notes is sophisticated.",Spain,Sparkling Blend
"Bready white-fruit aromas are a touch funky and difficult to gauge. In the mouth, this is foamy but secure, with lemon-lime and nectarine flavors. This feels precise on the finish, with mild yeast and bread flavors.",Spain,Sparkling Blend
"Dusty apple and mineral aromas are composed, not loud, while additional peach-pit notes are crisp. This mature Godello is round and solid in composition, while stony apple and quince flavors finish long and in good shape. Drink now.",Spain,Godello
"This amontillado smells complete, with a tight aromatic mix of raw wood, brine, citrus and dried stone fruits. The palate is racy, with razor-like acidity. Intense flavors of dried apricot, tart nectarine and almond skins finish full  and lasting, with cutting acidity.",Spain,Palomino
"Black fruits, fine herbs and horsehide carry the aromas of this offering. In the mouth, this is firm and well built, with integrated tannins. Savory flavors of soy sauce and roast plum share space with bolder, riper cherry notes, while a warm, earthy finish tastes of roasted plum and berry. Drink through 2021.",Spain,Tempranillo
"Flawless on the nose, this amontillado purchased from the solera of Señor González Obregón is full of lift, power and toffee on the nose. There's zero excess weight to the palate, which features flavors of nuts, salt, caramel and dried apricot. On the finish, a hint of buttered toast offers an umami offset to acid-driven raciness.",Spain,Sherry
"This modern-style Tempranillo is registering at max ripeness. Aromas of black fruits, raisin, tire rubber and toasty French oak project a dark outlook. In the mouth, this is tight and gripping. Flavors of blackened oak, cassis and blackberry finish firm and closed, with manageable tannins. Drink through 2025.",Spain,Tempranillo
"Rosy cherry and plum aromas turn more rubbery and raisiny as this airs out. Solid, lifted and deep on the palate, this varietal Garnacha deals lightly herbal, floral flavors of plum and cherry cough drop, while the finish is oaky, resiny, raw, scouring and tough. Nothing about this is subtle or elegant, but it is dynamic. Drink through 2020.",Spain,Garnacha
"Resiny oak and mildly stalky berry aromas muscle out cherry and raspberry scents. This feels grabby and clampy, while oaky flavors of mixed berries and baked plum end with coconut-infused oak flavors and notes of raisin and licorice. Drink through 2020.",Spain,Tempranillo Blend
"Cherry and plum aromas are accented by buttery oak, leather and animal notes. Solid in feel with firm tannins, this warm-vintage Tempranillo is ripe, loamy and loaded with berry and cassis flavors. A lightly raisiny finish is friendly and round. Drink through 2019.",Spain,Tempranillo
"While 2010 was a great vintage in most of Spain, parts of Bierzo had a mildew problem and thus some wines are less than fully ripe. This seems to be a case in point; it's scratchy on the nose, with a sinewy, drawing mouthfeel that's only partly covered up by oak. Prickly berry and black cherry flavors finish tight, with scraping tannins. Drink now with meat or cheese.",Spain,Mencía
"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Spain,Monastrell
"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Spain,Tempranillo
"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Spain,Tempranillo Blend
"Black fruits, fine herbs and horsehide carry the aromas of this offering. In the mouth, this is firm and well built, with integrated tannins. Savory flavors of soy sauce and roast plum share space with bolder, riper cherry notes, while a warm, earthy finish tastes of roasted plum and berry. Drink through 2021.",Spain,Tempranillo
"Aromas of roasted earth, leather and fine oak are more out-front than berry fruit, and that's the way it should be for a Gran Reserva. This feels bold, lively and still a touch bumpy. Chocolaty oak and vanilla notes rest comfortably on top of ripe berry and black-plum flavors, while the finish is persistently earthy and chocolaty. Drink through 2028.",Spain,Tempranillo
A ripe fruity set of berry and cassis aromas shows a slight hint of raisin. This is a stacked saturated wine with raw tannins and plenty of power. Blackberry and earthy notes finish stout and compact: this doesn't vary or waver on the back end. Best from 2019–2026.,Spain,Tempranillo Blend
"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",Spain,Red Blend
"Pine notes and an aroma akin to floor polish make for an iffy start. This carries a slight chemical flavor as it moves along, while honey and brown-sugar notes sweeten things up. A chunky, obtuse finish feels sticky due to mild acidity.",Spain,Moscatel
"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Spain,Monastrell
"Neutral on the nose except for a whiff of apple, this is a wine to drink now. A round, pulpy palate is balanced by citric acidity, while waxy flavors of baked apple and peach finish briny and round, with a hint of green banana.",Spain,Garnacha Blanca
"Potent black-plum and black-cherry aromas come with a ton of grainy, spicy oak. This is both fresh and bright as well as dark, brawny and roasted in character. Flavors of ripe blackberry and cherry share the stage with toasty, charred oak and spice flavors in front of an aggressive but tasty finish.",Spain,Garnacha
"On the nose, this is challenging: gaseous, oaky aromas of wet cement also contain notes of bitter lettuce, baking spices and general grit. Raw, tannic and abrasive on the palate, this unfolds to offer herbal flavors of berry and plum. Tannic, scratchy, rugged and mildly green on the finish.",Spain,Red Blend
"Muscular, leathery aromas of dark-berry fruits come with a can't-miss animal element. This Grenache-Carignan blend features a powerful grip and grabby texture. Earthy, jammy flavors of raspberry and plum end with herbal accents, dry spice and the taste of bitter black cherry.",Spain,Red Blend
"Raw, lightly leafy red-berry aromas properly announce what amounts to a juicy, snappy Tempranillo with berry, spice and dry oak flavors. A dry feeling, peppery tasting finish is traditional for good, basic Spanish table wine.",Spain,Tempranillo
"Pure berry aromas define the nose on this highly drinkable Garnacha-Syrah blend. In the mouth, it's clean, juicy, a bit round and easy to process. Typical Aragónese flavors of plum and berry finish tasty and unbroken.",Spain,Grenache-Syrah
"This respected Bierzo producer's base-level Mencía is jumpy on the nose, with floral berry and plum aromas. It feels fresh and bright, with ample structure. Standard berry, plum and currant flavors come with notes of spice, while the finish is forward and fresh.",Spain,Mencía
"Varietally specific aromas of wild flowers, honey and lemon verbena set up an unctuous, creamy palate with modest acidity and lots of weight. Honey, mango, vanilla and other sweet, tropical flavors finish thick but not quite cloying. This is a unique wine for Navarra that deserves to be judged on its own.",Spain,Moscatel
"Typical for this winery, this smells a bit herbal, with tomato and earthy plum aromas leading the way. Scratchy, grabby tannins support savory, herbal berry flavors. Hard tannins struggle to resolve themselves on a firm, muscular finish.",Spain,Tempranillo Blend
"This is a ripe, earthy, modern-leaning Rioja with aromas of blackberry, raisin and rubber. Soft and fleshy on the palate, what this easygoing number lacks in structure is made up for in charm. Ultraripe flavors of plum and berry come with a chocolaty accent, while the finish is smooth and tastes earthy and spicy. Drink through 2019.",Spain,Tempranillo Blend
"Earthy berry and raisin aromas announce a warm, ripe wine. This feels plump, grapy and chunky, with moderate acidity. Grapy, bold flavors of raspberry, prune and cherry are earthy and loamy, while ripeness and a raisiny element carry onto the finish. Drink through 2019.",Spain,Garnacha
"Aromas of earthy, nutty, mature berry fruits come with a hint of raisin and a touch of compost. This saturated Vino de Cádiz is composed of 80% Syrah, with Merlot and Cabernet Sauvignon. It's a heavy wine with flavors of vanilla, burnt wood, blackened spices and stewed berries. The finish tastes peppery, dark and outright woody. Drink through 2019.",Spain,Red Blend
"This blend from Cádiz features Syrah, Merlot and Cabernet Sauvignon. It's big, ripe and minty on the nose, with hints of animal fur and leather. A blocky, full palate weighs in at 15.5%, while flavors of oak and vanilla blend well with spiced berry fruit. A drying finish tastes mostly of oak. Drink through 2025.",Spain,Red Blend
"Smoky, oaky, rubbery aromas are sophisticated and inviting. This blend of 90% Garnacha and 10% Carignan feels smooth, but with a healthy pulse. Plum and cherry flavors carry a note of oaky char, while a long, toasty finish offers a complex note of cured meat. Drink through 2020.",Spain,Red Blend
"Smooth, deep aromas of licorice and blackberry are composed. This Mencía feels full and lusty, with grip but nothing too hard or edgy. Earthy black fruit flavors are savory, toasty and meaty, while the finish is woody and plump. Drink through 2020.",Spain,Mencía
"Off the bat, this smells a bit like fruit punch, although with time it stiffens. A chunky heavy somewhat flat palate tastes of clove, chocolate and berry and plum.",Spain,Red Blend
"Aromas of buttered noodles and honey fail to hold up in the glass. This sweet Macabeo feels a bit watery, with no complexity to the palate structure. Flavors of honey and vanilla are slightly bitter.",Spain,Macabeo
"Leesy aromas of pear and melon are friendly and fresh. This Verdejo is lean, citric and drawn on the palate, with lemon, white pineapple and green apple flavors. A tangy, tight, juicy, acidic palate ensures that this ends with crispness and snap.",Spain,Verdejo
"Easy berry and plum aromas come across clean and pure. This has a staunch mouthfeel with rubbery, pinching tannins. Earthy, ripe berry and plum flavors turn even riper on the back palate and finish, which lingers in a solid state.",Spain,Tempranillo
"Earthy, ripe, slightly flat aromas of black fruits define the nose on this dense Toro. Soft, mellow, quiet flavors of blackberry and raisin finish rich, loamy and with a note of prune. Drink this ripe, fairly sweet-tasting wine now.",Spain,Tempranillo
"Oak, density and medicinal berry aromas are the three most prominent characteristics on the nose of this carbonic macerated Tempranillo. In the mouth, it's full and a bit grabby. Flavors of smoky oak and hickory vie with black-fruit tastes, while the finish is firm and dry, with residual woodiness.",Spain,Tempranillo Blend
"Floral, stony red-fruit aromas are the right set up for a tight, almost citric feeling palate. Flavors of cherry and red plum are narrow and quick-hitting, while the finish is bright, juicy and runs on acidity. This demands food; it's raw by itself.",Spain,Red Blend
"This modern Rioja opens with sweet, jammy, raisiny aromas and spice. The palate is cumbersome, with tomatoey acidity providing spine. Baked dark-fruit flavors show a leathery, spicy side, while the finish is full, grabby and tannic, with notes of prune and rubber. 70% Tempranillo and 30% Graciano.",Spain,Tempranillo Blend
"Minty, scratchy aromas of cherry and berry air out well. This feels chewy yet fresh in the mouth, with plum and cherry flavors matched by good overall intensity and balance. A controlled finish tastes dusty and loamy; drink through 2017.",Spain,Tempranillo Blend
"Plump, waxy aromas of baked apple and lanolin are complex and proprietary to Garnacha Blanca. This feels full and creamy, with moderate but present acidity. Slightly bitter, peppery stone-fruit flavors fold in a note of papaya and vanilla. A steady finish is healthy and balanced.",Spain,White Blend
"Earth, leather and strong but quality oak notes accent berry-fruit aromas. Cheek-sucking tannins make for a rugged mouthfeel. Spicy, peppery berry flavors are fully oaked and toasty, while this tastes dry and minty on the finish. Grilled meat and/or a few years on its side is what this needs. Drink through 2025.",Spain,Tempranillo
"Dusty toffee and dried stone-fruit aromas are pure and inviting. This is ultra crisp and fresh, with ripping acidity. Flavors of toffee, salted peanuts and sharp-leaning dry white fruits finish racy and with precision. This is a classic complex amontillado purchased from the cellar of Manuel Cuevas Jurado.",Spain,Sherry
"Raspberry, plum and cherry aromas are light, pure and fully inviting, with nothing off-putting. This tastes bright and balanced, with cherry and berry flavors that are impossible not to like. A dash of oaky cocoa blends with leftover red fruit flavors on a nice finish.",Spain,Tempranillo Blend
"Briny aromas suggest pickled white fruits and even some sauerkraut. In the mouth, this is tight for a fairly sizable wine. Dry peach and bitter melon flavors settle on citrus pith, while the finish is long and leesy.",Spain,Godello
"Leesy on the nose like the name implies, this Godello smells creamy, with notes of apple and melon. The palate shows moderate citric acidity but nothing scouring, while flavors of ripe apple, orange and powdered sugar finish leesy and peachy.",Spain,Godello
"Hot, stalky aromas of red chili flake and weedy raspberry lead to a lean, tomatoey palate with flavors of tomato, dried berry, vanilla and especially dill weed. A saucy, woody finish confirms that this is now mostly oak and acid; drink through 2020.",Spain,Tempranillo Blend
"Pinched, rubbery and earthy-smelling, but with ample berry, plum and char aromas, this young, oak-aged RDD is full and well balanced. Blackberry, cassis and oak flavors dance well together, while the finish introduces hickory and herbal notes.",Spain,Tempranillo Blend
"Dusty aromas of yellow apple and cream soda are creamier than the palate, which is tangy, lemony and green. This tastes of briny citrus and green apple, while tangerine, lime and green-herb flavors define the finish.",Spain,Sparkling Blend
"Plum and berry aromas are lively and come with a mild scent of animal fur. This blend of four grapes, led by Tempranillo, feels blocky and loosely defined, while flavors of plum, raspberry and a touch of herbal green finish spicy and woody. Will function best as an everyday wine.",Spain,Red Blend
"Cidery aromas vie with bready notes to give the bouquet complexity. This feels zesty, juicy and citric, with a lean, racy body. Apple cider, green herb, lime and scallion flavors finish with a lasting taste of lime.",Spain,Sparkling Blend
"Stripped-back cherry and raspberry flavors take on a jammy character with airing. This is tight, bright and mildly acidic on the palate, with raspberry, red plum and brown sugar flavors. Toast and a molasses-like sweetness carry an otherwise juicy finish.",Spain,Tempranillo Blend
"Blackberry, cherry and earthy aromas are backed by a secondary wave of oaky char. This is 80% Garnacha and 20% Carignan with raw clamp to the palate created by grabby tannins and tomatoey acidity. Briny raspberry and plum flavors finish with rubbery tannins and related grab. This is a tough wine but one with lots of life and power. Drink through 2019.",Spain,Red Blend
"Apple, peach and melon aromas are fresh and easy to like. This has a pure palate, with citric and malic acidity offset by pulpy weight. Peach and apricot flavors finish long, and overall this should maintain its good shape over the next year.",Spain,Albariño
"Aromas of stone fruits and citrus are dusty and nice; so is the mouthfeel, which is fresh but shows texture and body. Watermelon, nectarine and citrus flavors finish slightly bitter but within reason.",Spain,Rosado
"Despite being nine years old, this comes across young and jammy, with foxy aromas of wild berries and animal fur. The palate is blocky, heavily extracted and fully ripe in feel. Flavors of prune and blackberry finish with hard tannins. Drink or hold.",Spain,Tempranillo Blend
"Minerally, warm aromas are rustic and savory, with berry power lurking in the backdrop. A full, grabby, tannic palate is meaty in feel, while flavors of blackberry, dark spices, cocoa and herbal notes finish flush and tannic, with ample ripeness.",Spain,Tempranillo
"Aromas of raw oak, cinnamon, bacon and clove outmuscle fruit on this rough, tannic, scraping 2013. Flavors of toast, chocolate and baking spices push blackberry and black-plum fruit towards an oaky, abrasive finish with rocky tannins and accents of chocolate and cinnamon. Holding this for another couple of years may or may not soften this fierce but tasty RDD.",Spain,Tempranillo
"This is one of the most inky, concentrated, fiercely tannic vintages of Alion to date. Aromas of granite, boysenberry and grilled meat feed into a biting, full-bodied palate that can only benefit from more time. Blackberry, vanilla and chocolate flavors finish with mocha notes and stocky, rugged tannins. This is fierce and unrefined now; drink from 2018 through 2027.",Spain,Tempranillo
"There's no denying that this is a heavily oaked Rioja with toast, resin, vanilla and cheesy aromas alongside fully ripe blackberry and prune notes. There's energy to the palate, while previously mentioned heavy oak spawns flavors of vanilla and spice to go with berry fruit. A mouth-coating, woody finish stands out on this compartmentalized Tempranillo-led blend. Drink through 2023.",Spain,Tempranillo Blend
"Pine resin and a light, oily brine character define the nose on this lithe, fresh fino. Crisp acidity and healthy weight mesh into balance on an easy-to-navigate palate. Flavors of almond, sea brine and toffee finish crisp.",Spain,Sherry
"Aromas of freshly baked bread, toast and melon are soft and welcoming. This Pinot Noir-led Cava feels plump, with moderate acidity. Flavors of melon, quince and pear finish mild, with only a bit of kick.",Spain,Sparkling Blend
"Light plum and raspberry aromas include notes of animal and latex. This lightweight Garnacha has a monotone mouthfeel, while hollow simple berry flavors finish with acidic tang.",Spain,Garnacha
"Herbal tomato and red-berry aromas are jumbled and fail to state much of a case for this multigrape blend. Herbal spicy tea and raspberry flavors finish jagged, with mild heat.",Spain,Red Blend
"This blend is so oaky and sticky on the nose that it smells like a Hershey's Kiss. The palate is out of balance, with chunky weight and unintegrated acidity. Like the nose, this tastes like a drugstore chocolate bar, while the finish is hot.",Spain,Red Blend
